编号,期刊,年份,卷,期,题目,作者,作者机构,页数,主题词,分类-Q,分类-G,分类-D,分类-K,分类,duplicate_group,canonical_pid,analysis_included
834,中国法学,2023,000,6,论类案的结构性相似特征及其运用,杨知文[1],[1]华东政法大学法律学院,21,类案;结构性相似;类案判定;类案适用;指导性案例,法学理论,法学理论,法学理论,法学理论,法学理论,,834,yes
835,中国法学,2025,000,1,论经济法治现代化,张守文[1],[1]北京大学法学院,20,经济法治;现代化;现代制度;法定原则;发展导向,经济法学,经济法学,经济法学,经济法学,经济法学,,835,yes
836,中国法学,2021,,4,论绿色原则的规范解释司法适用,竺效[1],[1]中国人民大学法学院,20,绿色原则;规范解释;司法适用;比例原则,法学理论,法学理论,法学理论,法学理论,法学理论,,836,yes
837,中国法学,2019,,3,论缓和的结果归属,张明楷[1],[1]清华大学法学院,22,缓和的结果归属;类型;因果关系;主观责任,刑法学,刑法学,刑法学,刑法学,刑法学,,837,yes
838,中国法学,2017,,3,论网络时代刑法解释的限度,欧阳本祺,东南大学法学院,20,网络犯罪;解释;内部限度;外部限度,数字法学,刑法学,刑法学,刑法学,刑法学,,838,yes
839,中国法学,2017,,2,论网络服务商版权内容过滤义务,崔国斌,清华大学法学院,23,网络服务商;内容过滤;版权侵权,知识产权法学,民商法学,知识产权法学,知识产权法学,知识产权法学,,839,yes
840,中国法学,2016,,4,论网络服务提供者间接侵权责任的过错形态,冯术杰,清华大学法学院,19,网络服务提供者责任;间接侵权;过失;网络侵权,数字法学,民商法学,民商法学,民商法学,民商法学,,840,yes
841,中国法学,2018,,3,论网络法权构建中的主体性原则,陈璞,中国人民大学金融科技与互联网安全研究中心,18,网络法权;主体性原则;网络隐私权;大数据;人工智能,数字法学,民商法学,民商法学,民商法学,民商法学,,841,yes
842,中国法学,2024,000,5,论股东功能之嬗变：从股东治理到股东代理,沈云樵[1],[1]澳门科技大学法学院,22,公司所有权;两权分离;公司治理;股东治理;股东代理,民商法学,民商法学,民商法学,民商法学,民商法学,,842,yes
843,中国法学,2025,000,2,论行政决定保全,江国华[1],[1]武汉大学法学院,20,行政决定保全;强制执行权;诉中保全;非诉强制执行保全;司法审查,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,843,yes
844,中国法学,2020,,5,论行政协议的司法审查,余凌云[1],[1]清华大学法学院,20,行政协议;混合契约;司法审查,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,844,yes
845,中国法学,2015,0,2,论行政审批的分类改革与替代性制度建设,王克稳[1],[1]苏州大学王健法学院暨东吴公法与比较法研究所,24,行政审批;资源配置类审批;市场进入类审批;危害控制类审批,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,845,yes
846,中国法学,2016,0,1,论行政廉洁原则的适用,于安,清华大学公共管理学院,18,行政法治;预防行政腐败;行政廉洁原则,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,846,yes
847,中国法学,2017,,5,论行政法中技术标准的运用,关保英,上海政法学院,21,行政法规范 技术标准 适用程序,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,,847,yes
848,中国法学,2015,0,3,论行政行为的违法性继承,王贵松[1],[1]中国人民大学法学院,22,违法性继承;公定力;不可争力;法的安定性;权利保障程序,民商法学,民商法学,民商法学,民商法学,民商法学,,848,yes
849,中国法学,2015,0,2,论行政诉讼补救判决的适用——基于104份行政裁判文书的统计分析,陈思融[1],[1]浙江财经大学法学院,14,行政诉讼;补救判决;行政裁判文书,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,849,yes
850,中国法学,2021,,5,论规划许可变更前和谐相邻关系的行政法保护:以采光权的保护为例,肖泽晟[1],[1]南京大学法学院,22,规划许可变更;和谐相邻关系;相邻权;采光权;行政裁决,民商法学,民商法学,民商法学,民商法学,民商法学,,850,yes
851,中国法学,2024,000,1,论证券监管介入上市公司治理的限度,吕成龙[1],[1]深圳大学法学院,19,证券监管;信息对称标准;上市公司治理;公司法;证券法,民商法学,民商法学,民商法学,民商法学,民商法学,,851,yes
852,中国法学,2022,000,4,论醉驾案件的程序出罪,史立梅[1],[1]北京师范大学刑事法律科学研究院,20,醉驾案件;程序出罪;诉讼结构;需罚性;特殊预防,刑法学,刑法学,刑法学,刑法学,刑法学,,852,yes
853,中国法学,2021,,5,论量刑基准的回归,石经海[1],[1]西南政法大学法学院,21,量刑基准;量刑方法;法定刑;量刑情节;依次适用,刑法学,刑法学,刑法学,刑法学,刑法学,,853,yes
854,中国法学,2021,,2,论金融司法与金融监管协同治理机制,鲁篱[1],[1]西南财经大学法学院,18,金融风险;金融监管;金融司法;分立式治理;协同式治理,经济法学,经济法学,经济法学,经济法学,经济法学,,854,yes
855,中国法学,2025,000,2,论金融法的制定,邢会强[1],[1]中央财经大学法学院,21,金融法;金融法典;金融基本法;金融服务法;金融监管法,经济法学,经济法学,经济法学,经济法学,经济法学,,855,yes
856,中国法学,2016,,5,证券期货市场高频交易的法律监管框架研究,邢会强,中央财经大学法学院,22,高频交易;程序化交易;三足定理;幌骗;塞单,民商法学,民商法学,民商法学,民商法学,民商法学,,856,yes
857,中国法学,2021,0,6,证券虚假陈述中审验机构连带责任的厘清与修正,陈洁[1],[1]中国社会科学院法学研究所,21,证券虚假陈述;审验机构;连带责任;过错;原因力,民商法学,民商法学,民商法学,民商法学,民商法学,,857,yes
858,中国法学,2022,000,6,证据属性的中国法律之道,周洪波[1],[1]西南民族大学法学院,21,证据属性;当前事实性;证据相关性;证据规则,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,858,yes
859,中国法学,2024,000,1,证据种类法定主义的反思与重构,郑飞[1],[1]北京交通大学法学院,19,法定证据种类;法定证据制度;自由心证;证据分类;证据审查,法学理论,法学理论,法学理论,法学理论,法学理论,,859,yes
860,中国法学,2017,,2,证据链与结构主义,栗峥,国家2011计划司法文明协同创新中心、中国政法大学诉讼法学研究院,21,证据链;结构主义;真实,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,860,yes
861,中国法学,2019,,3,诈骗罪重构:交易信息操纵理论之提倡,"王莹[1,2]",[1]中国人民大学刑事法律科学研究中心;[2]中国人民大学未来法治研究院,21,认识错误;财产处分;交易信息操纵;信息错误风险分配,刑法学,刑法学,刑法学,刑法学,刑法学,,861,yes
862,中国法学,2023,000,1,诊疗人工智能的医疗损害责任,"郑志峰[1,2]",[1]西南政法大学民商法学院;[2]“互联网知识产权治理体系创新研究团队”,19,诊疗人工智能;辅助型人工智能;诊疗过失;合理医生标准;医疗产品责任,数字法学,民商法学,民商法学,民商法学,民商法学,,862,yes
863,中国法学,2024,000,2,试析明清律中的“罪坐所由”,张德美[1],[1]中国政法大学法学院,21,罪坐所由;明清律;各以所由为罪;公罪追责;罪责自负,法律史,法律史,法律史,法律史,法律史,,863,yes
864,中国法学,2017,,6,谱写新时代人权法治保障的新篇章,"江必新[1,2]",[1]最高人民法院;[2]中国法学会,8,保护人权 法治保障 中国特色社会主义思想 篇章 人权保障制度 人权事业 保障内容 习近平,法学理论,法学理论,法学理论,法学理论,法学理论,,864,yes
865,中国法学,2024,000,5,财产事实支配的宪法定位及其在数据财产领域的运用,杜牧真[1],[1]中国政法大学数据法治研究院,21,财产事实支配;数据财产;自由;权利;国家保护义务,数字法学,宪法学与行政法学,宪法学与行政法学,民商法学,宪法学与行政法学,,865,yes
866,中国法学,2019,,4,财产损失要件在诈骗认定中的功能及其判断,付立庆[1],[1]中国人民大学刑事法律科学研究中心,20,经济财产;整体财产损失;实质个别财产损失;处分目的重大背离;主体同一性,刑法学,刑法学,刑法学,刑法学,刑法学,,866,yes
867,中国法学,2016,,3,财产罪占有之立场：缓和的事实性占有概念,梁云宝,东南大学法学院,22,财产罪;占有;事实性占有;规范性占有,刑法学,刑法学,刑法学,刑法学,刑法学,,867,yes
868,中国法学,2018,,1,财政权利的逻辑体系及其现实化构造,胡明,华南理工大学法学院,23,财政权利;财政信托;财政防御权利;财政受益权利,法学理论,法学理论,法学理论,法学理论,法学理论,,868,yes
869,中国法学,2015,0,4,财税法功能的定位及其当代变迁,刘剑文,[1]北京大学法学院,19,全面深化改革;财税法功能;理财治国,经济法学,经济法学,经济法学,经济法学,经济法学,,869,yes
870,中国法学,2015,0,2,责任保险中的连带责任承担问题——以机动车商业三责险条款为分析样本,韩长印[1],[1]上海交通大学凯原法学院,16,责任保险;连带责任;按责赔付,民商法学,民商法学,民商法学,民商法学,民商法学,,870,yes
871,中国法学,2018,,5,责任清单编制规则的法治逻辑,刘启川,东南大学法学院,20,责任清单;权力清单;编制规则,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,871,yes
872,中国法学,2015,0,6,质疑法定资本制之改革,蒋大兴,北京大学法学院,23,法定资本;最低资本;股东;债权人,民商法学,民商法学,民商法学,民商法学,民商法学,,872,yes
873,中国法学,2015,0,1,贪污受贿犯罪定罪量刑标准问题研究,赵秉志[1],[1]北京师范大学刑事法律科学研究院暨法学院,23,贪污受贿犯罪;定罪量刑标准;犯罪数额,刑法学,刑法学,刑法学,刑法学,刑法学,,873,yes
874,中国法学,2017,0,4,贿赂犯罪的保护法益与事后受财行为的定性,黎宏,清华大学法学院,19,受贿罪;职务行为公正性;事先约定;事后受财;心理期待,刑法学,刑法学,刑法学,刑法学,刑法学,,874,yes
875,中国法学,2024,000,3,资本市场信息披露双层规范体系的基本建构,郭锋[1],[1]成都理工大学文法学院,21,信息披露;公开发行;私募发行;注册制;虚假陈述,民商法学,民商法学,民商法学,民商法学,民商法学,,875,yes
876,中国法学,2024,000,5,赋能型人工智能治理的理念确立与机制构建,张吉豫[1],[1]中国人民大学法学院、未来法治研究院,21,人工智能;赋能型治理;法治化;以人为本;发展导向,数字法学,法学理论,法学理论,民商法学,法学理论,,876,yes
877,中国法学,2017,,6,走向“精明”的证券监管,张红,北京师范大学法学院,18,证券监管 执法策略 精明规制,民商法学,民商法学,民商法学,民商法学,民商法学,,877,yes
878,中国法学,2021,,4,"超越""依法裁判""的清代司法",李栋[1],[1]中南财经政法大学法学院,17,清代司法裁判;命盗重案;州县自理案件;依法裁判;权宜裁判,法律史,法律史,法律史,法律史,法律史,,878,yes
879,中国法学,2023,000,4,身份人格权论,刘德良[1],[1]中南财经政法大学法学院,20,人身权;人格利益;身份利益;自我人格权;身份人格权,民商法学,民商法学,民商法学,民商法学,民商法学,,879,yes
880,中国法学,2023,000,4,身份权的派生确权与参照保护,张力[1],[1]西南政法大学民商法学院,19,身份权;确权;人格权;派生关联性;参照保护,民商法学,民商法学,民商法学,民商法学,民商法学,,880,yes
881,中国法学,2020,,2,轻罪重判国家赔偿责任的证立及其类型化,金成波[1],[1]中共中央党校(国家行政学院)政治和法律教研部,18,轻罪重判;刑罚;国家赔偿;类型化,刑法学,刑法学,刑法学,刑法学,刑法学,,881,yes
882,中国法学,2023,000,2,过失犯远因溯责的规制路径：以渎职犯罪为中心,陈璇[1],[1]中国人民大学刑事法律科学研究中心,20,过失犯;溯责禁止;自我答责;限制正犯概念;渎职犯罪,刑法学,刑法学,刑法学,刑法学,刑法学,,882,yes
883,中国法学,2018,,5,过程性审查：行政行为司法审查方法研究,刘东亮,浙江工商大学法学院,19,行政行为;司法审查;过程性审查,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,883,yes
884,中国法学,2023,000,2,过罚相当原则的规范构造与适用,刘权[1],[1]中央财经大学法学院,20,过罚相当原则;处罚正义;行政处罚裁量基准;比例原则,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,884,yes
885,中国法学,2021,,3,"迈向""规划""时代的法治中国建设",马怀德[1],[1]中国政法大学,20,"法治中国;法治规划;""十四五"";习近平法治思想",法学理论,法学理论,法学理论,法学理论,法学理论,,885,yes
886,中国法学,2015,0,6,近代中国宪制的发展,聂鑫,清华大学法学院,17,议会主权;制宪权;混合政体;宪法法院,法律史,法律史,法律史,法律史,法律史,,886,yes
887,中国法学,2021,0,1,远程工作的立法理念与制度建构,谢增毅,中国社会科学院法学研究所,21,远程工作;灵活用工;远程工人;应急管理;《远程工作框架协议》,法学理论,法学理论,法学理论,法学理论,法学理论,,887,yes
888,中国法学,2015,0,5,连带责任的弹性不足及其克服,张平华,烟台大学法学院,22,连带责任;连带责任法定;自然连带责任;建构性连带责任,民商法学,民商法学,民商法学,民商法学,民商法学,,888,yes
889,中国法学,2015,0,6,退休年龄的法理分析及制度安排,林嘉,中国人民大学法学院、中国人民大学民商事法律科学研究中心,20,退休年龄;延迟退休;退休权;劳动权;男女同龄退休,法学理论,法学理论,法学理论,法学理论,法学理论,,889,yes
890,中国法学,2020,,3,通过政策的司法治理,李红勃[1],[1]中国政法大学法治政府研究院,17,司法政策;司法理念;司法治理,法学理论,法学理论,法学理论,法学理论,法学理论,,890,yes
891,中国法学,2020,,5,通过立法的文化传承,杨建军[1],[1]西北政法大学刑事法学院,19,文化传承;法律机制;创造性转化;创新性发展;文化产业化,法学理论,法学理论,法学理论,法学理论,法学理论,,891,yes
892,中国法学,2023,000,4,逮捕社会危险性条件中犯罪嫌疑人逃跑风险评估研究,张吉喜[1],[1]西南政法大学诉讼法与司法改革研究中心,24,逮捕;取保候审;逃跑;社会危险性;风险评估,刑法学,刑法学,刑法学,刑法学,刑法学,,892,yes
893,中国法学,2021,0,1,遗产限定继承论,马新彦,吉林大学法学院,20,限定继承;无限继承;血缘传承性遗产;财产本源主体;继承顺位,民商法学,民商法学,民商法学,民商法学,民商法学,,893,yes
894,中国法学,2017,0,4,避免将行政违法认定为刑事犯罪：理念、方法与路径,张明楷,清华大学法学院,20,行政违法;刑事犯罪;刑法理念;实质解释;实质判断,刑法学,刑法学,刑法学,刑法学,刑法学,,894,yes
895,中国法学,2018,,3,酌定不起诉制度的再考查,郭烁,北京交通大学法学院,21,不起诉;酌定不起诉;起诉法定;起诉便宜,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,895,yes
896,中国法学,2016,0,1,释宪机制的影响因子及其中国构造,刘国,江西财经大学法学院,14,释宪机制;政治制度;法律传统,法学理论,法学理论,法学理论,法学理论,法学理论,,896,yes
897,中国法学,2015,0,5,释法抑或造法：由刑法历次修正引发的思考,杨柳[1],[1]中南财经政法大学刑事司法学院,16,刑法修正;释法;造法;严而不厉;疏而不漏,刑法学,刑法学,刑法学,刑法学,刑法学,,897,yes
898,中国法学,2015,0,2,重复诉讼规制研究：兼论“一事不再理”,张卫平[1],[1]清华大学法学院,23,重复诉讼;一事不再理;既判力;诉讼标的,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,898,yes
899,中国法学,2015,0,3,重大行政决策概念证伪及其补正,熊樟林[1],[1]东南大学法学院,20,重大行政决策;行政程序;行政决策,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,899,yes
900,中国法学,2020,,6,重新发现“同案”:构建案件相似性的判断标准,孙海波[1],[1]中国政法大学比较法学研究院,20,“同案”;相似性判断标准;关键性事实;规范目的;实质权衡,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,900,yes
901,中国法学,2015,0,4,重构“禁止抽逃出资”规则的公司法理基础,刘燕,[1]北京大学法学院;北京大学法学院公司财务与法律研究中心,25,抽逃出资;资本维持原则;公司法资本制度改革;侵权责任,民商法学,民商法学,民商法学,民商法学,民商法学,,901,yes
902,中国法学,2024,000,1,金融诈骗罪特别从宽于诈骗罪的再认识,徐光华[1],[1]华东政法大学刑事法学院,20,金融诈骗罪;诈骗罪;金融属性;法条竞合;特别法优先,刑法学,刑法学,刑法学,刑法学,刑法学,,902,yes
903,中国法学,2016,,2,错案责任追究与豁免,"朱孝清[1,2]",[1]全国政协;[2]全国政协社会和法制委员会,23,错案;责任追究;责任豁免,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,903,yes
904,中国法学,2015,0,4,集体经营性建设用地“同等入市”的法制革新,温世扬,[1]中南财经政法大学法学院,18,集体经营性建设用地;建设用地使用权;用益物权;集体经营性建设用地流转,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,,904,yes
905,中国法学,2015,0,5,非典型与典型案件：术语、成因及其关系,周赟[1],[1]厦门大学法学院,21,疑难案件;非典型案件;事实与规范,法学理论,法学理论,法学理论,法学理论,法学理论,,905,yes
906,中国法学,2017,0,4,非法持有枪支罪的司法认定,王钢,清华大学法学院,19,赵春华案;非法持有枪支罪;犯罪故意;违法性认识,刑法学,刑法学,刑法学,刑法学,刑法学,,906,yes
907,中国法学,2018,,1,预防性刑法观及其教义学思考,高铭暄[1];孙道萃[2],[1]中国人民大学法学院;[2]北京师范大学刑事法律科学研究院,24,风险社会;预防性刑法观;预防性立法;工具法制;谦抑精神,刑法学,刑法学,刑法学,刑法学,刑法学,,907,yes
908,中国法学,2017,0,4,香港新宪制秩序的法理基础：分权还是授权,程洁,清华大学法学院,16,香港基本法;分权论;授权论;规范基础,法学理论,法学理论,法学理论,法学理论,法学理论,,908,yes
909,中国法学,2018,,4,高校校规的法律属性研究,朱芒,上海交通大学法学院,20,高校校规;高校诉讼;规范性文件;行政规定,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,909,yes
910,中国法学,2017,,5,高校校规：司法适用的正当性与适用原则,徐靖,中南大学法学院,20,高校校规 司法适用 附带性审查 大学自治,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,910,yes
911,中国法学,2020,,5,高等学校“非升即走”聘用合同法律性质及其制度法治逻辑,徐靖[1],[1]中南大学法学院,20,“非升即走”;高等学校教师聘用;社会行政;自主办学,民商法学,民商法学,民商法学,民商法学,民商法学,,911,yes
912,中国社会科学,2023,000,6,1768年叫魂案再审视与解读,茆巍[1],"[1]华东政法大学科学研究院,上海201620",19,叫魂;孔飞力;制造;小历史;海外汉学,法律史,法律史,法律史,法律史,法律史,,912,yes
913,中国社会科学,2021,0,1,"""一带一路""倡议与国际法——基于国际公共产品供给视角的分析",石静霞,"中国人民大学法学院,北京100872",26,"""一带一路""倡议;国际公共产品;""一带一路""法治化;全球经济治理;国际法保障",国际法学,国际法学,国际法学,国际法学,国际法学,,913,yes
914,中国社会科学,2022,000,12,“中国特色社会主义法治理论” 考,何勤华[1];周小凡[2],"[1]华东政法大学法律文明史研究院,上海200042;[2]上海交通大学凯原法学院,上海200030",14,中国特色社会主义法治理论;中国特色社会主义法治体系;依法治国习近平法治思想;法治文明,法学理论,法学理论,法学理论,法学理论,法学理论,,914,yes
915,中国社会科学,2019,,6,个人信息民法保护的模式选择,王成[1],"[1]北京大学法学院,北京100871",24,个人信息权;科技异化;保护模式;民法典,数字法学,民商法学,民商法学,民商法学,民商法学,,915,yes
916,中国社会科学,2021,0,10,中华法的政治机理——基于秦汉与古罗马时期的比较视角,王志强[1],"[1]复旦大学法学院,上海200438",22,中华法;政治权力结构;秦汉;古罗马;比较法律史,法律史,法律史,法律史,法律史,法律史,,916,yes
917,中国社会科学,2025,000,4,中国专利交易中的绝对权类型法定,张轶[1],"[1]深圳大学法学院,深圳518000",20,无体物;物权类型法定;绝对权类型法定;专利部分转让;专利许可,知识产权法学,民商法学,知识产权法学,知识产权法学,知识产权法学,,917,yes
918,中国社会科学,2022,000,12,中国共产党创造法治文明新形态的历史叙事,付子堂[1],"[1]西南政法大学人权学院、纪检监察学院,重庆401120",14,党的二十大;习近平法治思想;百年法治奋斗;法治文明新形态;中国式法治现代化,党内法规学,法学理论,法学理论,法学理论,法学理论,,918,yes
919,中国社会科学,2022,000,12,中国刑事程序法治文明的新发展,陈卫东[1],"[1]中国人民大学法学院,北京100872",12,刑事程序法治文明;立足国情;创造性转化;创新性发展,刑法学,刑法学,刑法学,刑法学,刑法学,,919,yes
920,中国社会科学,2015,0,7,中国刑事证据制度体系的优化,张栋[1],"[1]华东政法大学法律学院,上海200042",24,证据制度;证据规则;证明标准;非法证据排除;体系化,刑法学,刑法学,刑法学,刑法学,刑法学,,920,yes
921,中国社会科学,2019,,5,中国合宪性审查的宪法文本实现,刘连泰[1],"[1]厦门大学法学院,厦门361005",22,消极规范;积极规范;遵守;执行;宪法责任,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,921,yes
922,中国社会科学,2023,000,12,中国宪法上基本权利法律保留的生成与构造,陈鹏[1],"[1]厦门大学法学院,厦门361005",20,基本权利;法律保留;《宪法》第51;条;基本权利冲突;合宪性审查,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,922,yes
923,中国社会科学,2024,000,9,中国宪法权力监督功能的规范分析,刘练军[1],"[1]东南大学法学院,南京211189",11,中国宪法;监督功能;权力监督;监察委员会;自我革命,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,923,yes
924,中国社会科学,2023,000,3,中国宪法社会权的体系解释,刘晗[1],"[1]清华大学法学院,北京100084",19,社会权;共同富裕;社会主义宪法;劳动权;体系解释,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,924,yes
925,中国社会科学,2022,000,12,中国式物权制度的文明刻度,蔡立东[1],"[1]吉林大学,长春130012",12,中国式物权制度;三重所有权;多层级用益物权;平等保护,民商法学,民商法学,民商法学,民商法学,民商法学,,925,yes
927,中国社会科学,2018,,1,中国政府治理的法治路径,石佑启;杨治坤,"广东外语外贸大学,广州510420",24,政府管理;政府治理;法治政府;治理现代化;法治,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,927,yes
928,中国社会科学,2017,,1,中国民众刑法偏好研究,白建军,"北京大学法学院,北京100871",21,刑法偏好;刑法轻重;影子刑法;舆论;民意;刑法修订,刑法学,刑法学,刑法学,刑法学,刑法学,,928,yes
929,中国社会科学,2017,,12,中国法律规范体系与立法效果评估,"冯玉军[1,2]","[1]中国人民大学法学院,北京100872;[2]河北经贸大学,石家庄050061",22,法律规范体系 立法完备性 立法民主性 立法科学性 立法受监 督性,法学理论,法学理论,法学理论,法学理论,法学理论,,929,yes
930,中国社会科学,2019,,1,中国法治社会的结构及其运行机制,陈柏峰[1],"[1]中南财经政法大学法学院、教育部,武汉430073",26,法治社会;社会治理;基层;政府;社会组织,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,930,yes
931,中国社会科学,2018,,11,中国法理学进步的阶梯,徐显明[1],[1]不详,16,,法学理论,法学理论,法学理论,法学理论,法学理论,,931,yes
932,中国社会科学,2015,0,6,中国海上航运的安保模式及其法律保障——以应对21世纪海上丝路的海盗为例,"李卫海[1,2]","[1]中国政法大学,北京102249;[2]教育部'2011计划'司法文明协同创新研究中心,北京102249",21,一带一路;海运安全;武装护卫;安保公司;国家安全法律观,国际法学,国际法学,国际法学,国际法学,国际法学,,932,yes
933,中国社会科学,2024,000,9,中国生态环境法治的空间拓展及其规则创新,刘超[1],"[1]华侨大学法学院,泉州362021",12,生态环境法典;环境空间;社群主义;自然地理单元,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,,933,yes
934,中国社会科学,2018,,8,中国知识产权法律变迁的基本面向,吴汉东[1],"[1]中南财经政法大学,武汉430074",20,知识产权;法律变迁;本土化;现代化;一体化,知识产权法学,民商法学,知识产权法学,知识产权法学,知识产权法学,,934,yes
935,中国社会科学,2015,0,12,中国自治型公司法的理论证成及制度实现,赵万一;赵吟,"西南政法大学民商法学院,重庆401120",21,自治型公司法;公司法改革;意思自治;效益优先;均衡理念,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,935,yes
936,中国社会科学,2018,,7,中国著作权立法中的制度创新,熊琦,"华中科技大学法学院,武汉430074",21,著作权法修改;中国问题;法律继受;立法价值;私人自治,知识产权法学,民商法学,知识产权法学,知识产权法学,知识产权法学,,936,yes
937,中国社会科学,2022,000,5,中国行政法学学术体系的构造,周佑勇[1],"[1]中共中央党校(国家行政学院)政治和法律教研部,北京100091",19,中国行政法学学术体系;实定法体系;理论体系;方法体系,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,937,yes
938,中国社会科学,2021,0,3,习近平法治思想的实践逻辑、理论逻辑和历史逻辑,张文显[1],[1]吉林大学长春130012,23,习近平法治思想;实践逻辑;理论逻辑;历史逻辑,法学理论,法学理论,法学理论,法学理论,法学理论,,938,yes
939,中国社会科学,2017,0,8,事实、证据与事实认定,张保生,"中国政法大学证据科学教育部重点实验室,北京100088",21,经验事实;证据之镜;事实认定;司法理念,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,939,yes
940,中国社会科学,2017,,2,事权划分法治化的中国路径,刘剑文[1];侯卓[2],"[1]北京大学法学院、中国财税法治战略研究院,北京100871;[2]中南财经政法大学法学院,武汉430073",21,财税体制;事权划分;基本权利;法治化;国家治理,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,940,yes
941,中国社会科学,2015,0,4,互联网金融的法律规制——基于信息工具的视角,杨东[1],"[1]中国人民大学法学院、中国人民大学民商事法律科学研究中心,北京100872",20,互联网金融;信息不对称;信用风险规制;信息工具,经济法学,经济法学,经济法学,经济法学,经济法学,,941,yes
942,中国社会科学,2022,000,11,人合性在有限公司中的终结,梁上上[1],"[1]清华大学法学院,北京100084",20,人合性;股权转让;流通性;法定主义;意定主义,民商法学,民商法学,民商法学,民商法学,民商法学,,942,yes
943,中国社会科学,2025,000,1,人工智能法律治理的路径拓展,张凌寒[1],"[1]中国政法大学数据法治研究院,北京100083",20,人工智能立法;人工智能风险;分级分类;关键人工智能;适应性治理,数字法学,法学理论,法学理论,民商法学,法学理论,,943,yes
944,中国社会科学,2020,,4,人性民法与物性刑法的融合发展,刘艳红[1],"[1]东南大学法学院,南京211189",26,人性民法;物性刑法;民法典编纂;人文化成;强化保障,刑法学,刑法学,刑法学,刑法学,刑法学,,944,yes
945,中国社会科学,2016,,5,人的尊严的法律属性辨析,胡玉鸿,"苏州大学王健法学院,苏州215006",19,人的尊严;法律身份;法律伦理;法律地位;法律权利,法学理论,法学理论,法学理论,法学理论,法学理论,,945,yes
946,中国社会科学,2021,0,4,"从""权能分离""到""权利行使""",蔡立东,"吉林大学、司法数据应用研究中心,长春130012",20,权能分离;权利行使;多层级用益物权体系,民商法学,民商法学,民商法学,民商法学,民商法学,,946,yes
947,中国社会科学,2022,000,7,从控制到利用：刑法数据治理的模式转换,于改之[1],"[1]上海交通大学凯原法学院,上海200030",19,数据安全;数据法益;刑法治理;控制模式;利用模式,数字法学,法学理论,刑法学,民商法学,刑法学,,947,yes
948,中国社会科学,2018,,2,从民法通则到民法总则：中国当代民法的历史性跨越,杨立新,"天津大学法学院,天津300072",26,民法总则;民法通则;中国当代民法;人文主义;科技发展,民商法学,民商法学,民商法学,民商法学,民商法学,,948,yes
949,中国社会科学,2021,0,4,从治外法权到域外规治——以管辖理论为视角,屈文生,"华东政法大学法律文明史研究院、外语学院,上海201620",24,治外法权;域外规治;管辖;主权;共同体管辖,法律史,法律史,法律史,法律史,法律史,,949,yes
