编号,期刊,年份,题目,作者,作者机构,研究创新性,现状洞察度,理论建构力,逻辑连贯性,学术共识度,前瞻延展性,研究创新性_std,现状洞察度_std,理论建构力_std,逻辑连贯性_std,学术共识度_std,前瞻延展性_std,总分,平均标准差
995,中国社会科学,2017,大国司法理念与中国国际民事诉讼制度的发展,何其生[1],"[1]北京大学法学院,北京100871",42.5,61,63.2,79.2,85,79,5.0,8.0,17.5,4.7,0.8,2.6,68.33,6.43
996,中国社会科学,2022,宋代女性的土地权利保护,柴荣[1],"[1]北京师范大学法学院,北京100875",33.8,82.5,61,80.2,68.2,32.5,7.5,9.9,4.2,5.7,5.7,21.0,59.71,9.0
997,中国社会科学,2016,宪法框架下的协商民主及其法治化路径,马一德,"中南财经政法大学法学院教授,武汉430073",44.2,61.2,52.5,85.8,69.2,68.8,26.0,14.2,2.9,3.3,21.1,5.0,63.62,12.08
998,中国社会科学,2022,家庭财产功能主义的法律范式,赵玉[1],"[1]国家检察官学院,北京102206",72.2,76,76,82.2,88.2,82.2,10.2,2.8,2.8,3.9,0.5,3.9,79.5,4.02
999,中国社会科学,2017,我国劳动关系法律调整模式的转变,谢增毅,"中国社会科学院法学研究所,北京100720",78.2,73.8,73.2,83.2,84.2,80,5.7,11.2,10.4,4.3,2.9,2.3,78.79,6.13
1000,中国社会科学,2024,授权资本制的中国运行机理,傅穹[1],"[1]吉林大学法学院,长春130012",66,84.5,69,89,86.2,82.5,15.6,4.7,10.2,4.8,1.5,3.3,79.54,6.68
1001,中国社会科学,2016,推进农地三权分置经营模式的立法研究,孙宪忠,"中国社会科学院法学研究所,北京100727",53.8,45.5,61.8,77,86,76.8,12.3,14.5,9.7,2.4,1.4,4.3,66.79,7.43
1002,中国社会科学,2024,政府治理中社会整体利益的法治实现,冯辉[1],"[1]对外经济贸易大学法学院,北京100029",36.2,58.8,55,81.5,62.8,74.8,9.5,10.1,9.6,7.9,12.7,3.8,61.5,8.93
1003,中国社会科学,2022,政法范畴的本体论诠释,黄文艺[1],"[1]中国人民大学法学院,北京100872",38.8,77.5,37.5,82.8,72.8,76.2,4.8,5.0,13.4,10.2,7.3,3.5,64.25,7.37
1004,中国社会科学,2024,数字化背景下刑事诉讼权利结构的优化,郑曦[1],"[1]北京外国语大学法学院,北京100089",65,71,82.8,83.2,81.8,71,20.5,15.6,4.6,4.3,2.9,2.0,75.79,8.32
1005,中国社会科学,2021,数字平台的反垄断监管,孙晋,"武汉大学法学院,武汉430072",55,76,50,77.2,77,81.5,14.7,4.2,5.8,5.1,5.6,6.4,69.46,6.97
1006,中国社会科学,2024,数字时代劳动关系概念及认定规范的中国表达,谢增毅[1],"[1]中国社会科学院法学研究所,北京100720",58,81.2,70,86.5,87.8,76.2,12.6,2.2,18.1,3.0,0.5,5.1,76.62,6.92
1007,中国社会科学,2016,数据的法律属性及其民法定位,梅夏英,"对外经济贸易大学法学院教授,北京100029",83.5,77.2,66.2,88.5,81.2,73.2,1.7,4.6,13.6,7.0,3.0,7.9,78.33,6.3
1008,中国社会科学,2018,新时代中国法治建设的基本问题,王利明,不详,30,11.2,28.8,55.8,38.8,45.5,0.0,10.3,9.5,9.4,4.8,13.8,35,7.97
1009,中国社会科学,2018,新税制改革与创新驱动发展战略,许多奇[1],"[1]上海交通大学凯原法学院,上海200030",35,47.5,45.8,75.2,74.2,71.2,7.1,16.1,1.5,9.4,4.3,6.4,58.17,7.47
1010,中国社会科学,2019,智慧社会建设中的“众创”式制度变革——基于“网约车”合法化进程的法理学分析,马长山[1],"[1]华东政法大学,上海200042",33.8,49.2,45.8,73.8,71,60.8,2.5,15.9,1.5,3.5,10.1,3.4,55.71,6.15
1011,中国社会科学,2025,构建新时代法学学科体系,马怀德[1],"[1]中国政法大学,北京100088",33.8,49.2,43.8,77,60,70.2,2.5,11.2,6.3,9.3,17.5,8.9,55.67,9.28
1012,中国社会科学,2018,标表型人格权的构造与人格权商品化批判,房绍坤[1];曹相见[2],"[1]吉林大学法学院,长春130012;[2]山东农业大学文法学院,泰安271018",89.2,85,84.5,88.5,87,74.2,3.4,2.4,1.7,2.4,2.3,8.5,84.75,3.45
1013,中国社会科学,2018,欧洲中世纪教会经济立法及其伦理,赵立行,"复旦大学法学院,上海200438",76,77,50,81.5,75.5,50,11.4,3.5,15.0,4.0,9.5,15.8,68.33,9.87
1014,中国社会科学,2021,比例原则适用的范式转型,蒋红珍,"上海交通大学凯原法学院,上海200030",69.5,90.2,68,83.5,81.5,82.5,12.8,3.5,11.5,1.7,1.0,2.1,79.21,5.43
1015,中国社会科学,2015,民事法律的正当溯及既往问题,房绍坤;张洪波,"烟台大学法学院,烟台264005",78.5,68,81,90.2,85.2,61.2,4.5,8.5,9.3,3.5,2.5,7.5,77.38,5.97
1016,中国社会科学,2015,治国之法中的国际法：中国主张和制度实践,古祖雪,,38.8,76,55.8,78,70.8,76,11.8,4.2,13.5,4.2,7.2,4.2,65.88,7.52
1017,中国社会科学,2017,治国理政的法治理念和法治思维,张文显,,25,23.8,32.5,61.2,33,20.2,10.0,16.0,15.0,10.4,8.5,6.7,32.62,11.1
1018,中国社会科学,2024,法律行为的内在正义与外在正义,杨代雄[1],"[1]华东政法大学法律学院,上海201620",72,84,80,90.2,84.2,75,18.5,6.2,8.1,2.6,4.3,7.3,80.92,7.83
1020,中国社会科学,2016,法治视野下的司法预算模式建构,朱大旗;李帅,"中国人民大学法学院,北京100872",70.2,84.5,62.2,82,87,68,8.3,4.2,5.1,2.9,2.4,2.8,75.67,4.28
1021,中国社会科学,2015,法治：中国与世界——国际法治与中国法治建设,曾令良,,30,43.8,33.8,69.8,62.5,53,0.0,7.5,6.3,9.5,9.6,6.3,48.79,6.53
1022,中国社会科学,2017,法益保护与比例原则,张明楷,"清华大学法学院,北京100084",80.8,82.5,80,91,84.8,79,10.6,5.3,7.7,2.0,1.3,4.2,83,5.18
1023,中国社会科学,2024,法益修复与功能违法论,杜宇[1],"[1]复旦大学法学院,上海200438",79.8,85.2,88.8,87.8,89.2,83.5,16.5,5.3,3.0,2.1,1.0,2.4,85.71,5.05
1024,中国社会科学,2017,海洋法权论,杨华,不详,33.8,52.2,42.5,75.5,59,60,7.5,15.0,2.9,9.9,10.2,4.4,53.83,8.32
1025,中国社会科学,2018,犯罪化与惩罚体系的完善,时延安,"中国人民大学法学院,北京100059",67.5,81.8,78.8,84.8,86,76.2,19.4,4.7,9.0,4.7,1.4,6.3,79.17,7.58
1026,中国社会科学,2021,犯罪统计与犯罪治理的优化,卢建平[1],"[1]北京师范大学法学院,北京100875",32.5,40.8,47.5,77.5,79.5,79,2.9,18.2,21.8,4.1,7.0,2.6,59.46,9.43
1027,中国社会科学,2022,环境法体系化中的我国保护地体系,杜群[1],"[1]北京航空航天大学法学院,北京100191",78.5,72.2,79.8,86,76.8,79,7.9,9.2,5.6,5.9,8.1,2.6,78.71,6.55
1028,中国社会科学,2022,现代化中华法治文明及其世界意义,李林[1],"[1]中国社会科学院法学研究所,北京100720",30,22.5,29.5,49.5,40,23.8,0.0,26.0,6.1,10.8,7.1,13.1,32.54,10.52
1029,中国社会科学,2017,生态文明保障的刑法机制,焦艳鹏,"重庆大学法学院,重庆400044",65,76.5,73.5,71.8,74.8,73.2,20.1,6.2,14.8,11.2,20.6,3.9,72.46,12.8
1030,中国社会科学,2025,生态环境刑法立法的内在构造,李梁[1],"[1]中央民族大学法学院,北京100081",38.8,71.5,47.5,75.8,70.8,62.8,4.8,4.7,3.3,1.5,7.4,20.8,61.17,7.08
1031,中国社会科学,2024,生态环境法典编纂的二元逻辑及其展开,钭晓东[1],"[1]浙江大学光华法学院,杭州310008",53.5,65.8,81.5,89.2,80.8,81.2,15.6,8.3,6.4,3.3,6.0,6.4,75.33,7.67
1032,中国社会科学,2018,监管科技:金融科技的监管挑战与维度建构,"杨东[1,2]","[1]中国人民大学法学院未来法治研究院,北京100872;[2]中国人民大学民商事法律科学研究中心,北京100872",41.2,72.5,80.5,70.8,77.2,68.8,10.3,3.3,8.5,5.1,1.5,16.0,68.5,7.45
1033,中国社会科学,2024,知识产权法域外适用的制度构造,万勇[1],"[1]中国人民大学法学院,北京100872",54.2,66.8,63,80.5,86.5,78.2,15.5,28.1,2.4,4.8,1.7,2.4,71.54,9.15
1034,中国社会科学,2022,知识产权的边界:以客体可控性为线索,易继明[1];李春晖[2],"[1]北京大学法学院,北京100871;[2]天津大学法学院,天津300072",79.8,60,81.2,82.5,86.5,80,5.6,30.9,6.4,4.1,3.4,1.6,78.33,8.67
1035,中国社会科学,2024,社会主义核心价值观在民事裁判中的功能,于飞[1],"中国政法大学民商经济法学院,北京102249",71,64,86.5,89.2,87.8,80,24.3,13.8,9.8,1.0,2.1,6.3,79.75,9.55
1036,中国社会科学,2024,社会公共利益的私法实现机制,赵万一[1],"[1]西南政法大学市场交易法律制度研究基地,重庆401120",34,57.5,68,81.5,86,77.8,4.6,14.4,9.9,4.0,3.4,2.1,67.46,6.4
1037,中国社会科学,2022,社会诚信建设与基层治理能力的再造,陈柏峰[1],"[1]中南财经政法大学法学院、国家治理学院,武汉430073",55.5,85,58.2,85.5,84.2,60.8,13.1,8.7,4.7,5.3,1.5,3.4,71.54,6.12
1038,中国社会科学,2019,社会风险的刑法调控及其模式改造,"姜涛[1,2]","[1]南京师范大学,南京210023;[2]中国法治现代化研究院",69.2,84,62.5,83.2,80.8,74.2,12.6,4.2,14.3,3.5,3.4,1.5,75.67,6.58
1039,中国社会科学,2023,私法中的分配层次,谢鸿飞[1],"[1]中国社会科学院法学研究所,北京100720",76,80.5,69.2,84.8,85.2,68.8,14.1,6.0,16.7,5.0,2.9,6.5,77.42,8.53
1040,中国社会科学,2017,科学不确定性背景下的环境正义——基于转基因生物安全问题的讨论,王明远[1];金峰[2],"[1]清华大学法学院,北京100084;[2]上海市农业委员会政策法规处,上海200003",62.2,76.5,49.5,84.2,78.2,72.5,15.2,6.0,3.3,1.5,2.9,10.4,70.54,6.55
1041,中国社会科学,2020,科研合同的功能性规制,胡明[1],"[1]华南理工大学法学院,广州510006",70.5,70,67.5,78.2,90.2,72,14.8,30.1,15.2,0.5,3.8,1.8,74.75,11.03
1042,中国社会科学,2015,税制变迁与税收法治现代化,张守文[1],"[1]北京大学法学院,北京100871",38.2,50,54.2,73.2,84.2,70.2,3.3,30.3,1.5,5.7,4.3,8.8,61.71,8.98
1043,中国社会科学,2021,空间正义实现的公共规制,靳文辉[1],"[1]重庆大学法学院,重庆400045",36.2,70.8,56,83.2,80,71.8,6.3,5.1,5.9,4.3,7.7,2.9,66.33,5.37
1044,中国社会科学,2019,粤港澳大湾区治理创新的法治进路,石佑启[1];陈可翔[2],"[1]广东外语外贸大学法学院,广州510420;[2]中南财经政法大学,武汉430073",32.5,75,45.2,79.2,79.8,80,2.9,7.1,3.8,6.8,8.8,6.3,65.29,5.95
1045,中国社会科学,2019,经济权利保障的宪法逻辑,翟国强[1],"[1]中国社会科学院法学研究所,北京100720",47.5,73.2,47,76.8,75.2,74.2,21.8,4.3,2.4,4.3,11.7,4.3,65.67,8.13
1046,中国社会科学,2016,网络交易法律关系构造,杨立新,"中国人民大学民商事法律科学研究中心,北京100872",34.2,53.5,82,85.5,68.8,47.5,9.9,22.9,6.7,5.0,18.0,6.5,61.92,11.5
1047,中国社会科学,2016,网络时代言论自由的刑法边界,刘艳红,"东南大学法学院,南京211189",71.2,77.2,79.2,85.8,76.8,71.8,11.1,6.2,5.1,6.4,14.6,6.2,77,8.27
1048,中国社会科学,2018,网络社会治理的法治模式,徐汉明;张新平,"中南财经政法大学,武汉430073",32.5,60,35.8,63.8,56.2,47.5,2.9,8.1,11.8,10.6,10.6,8.7,49.29,8.78
1049,中国社会科学,2016,网络空间主权的治理模式及其制度构建,张新宝;许可,中国人民大学法学院,47.3,87.3,72.7,84,81.2,64.5,6.8,8.1,9.2,6.9,3.0,4.1,72.85,6.35
1050,中国社会科学,2021,网络空间安全立法的双重基础,张龑[1],"[1]中国人民大学法学院,北京100872",58.5,63.8,74.5,85.5,85,57.8,17.6,25.9,8.3,3.4,0.0,7.1,70.83,10.38
1051,中国社会科学,2024,罪刑关系的体系化及其实现,彭文华[1],"上海政法学院刑事司法学院,上海201600",34.2,74.5,46.8,84.2,77.5,82,5.7,13.2,16.1,2.6,3.3,2.9,66.54,7.3
1052,中国社会科学,2020,营利概念与中国法人法的体系效应,宋亚辉[1],"[1]南京大学法学院,南京210093",74,89,62.5,82.5,85.5,83.8,26.0,1.2,30.2,5.0,2.1,1.5,79.54,11.0
1053,中国社会科学,2020,著作权法中的公众使用权,刘银良[1],"[1]北京大学法学院,北京100871",60.7,75.2,64.2,86.8,82.5,74.2,28.7,10.5,20.0,3.9,3.3,2.9,74.52,11.55
1054,中国社会科学,2015,董事会运行中非理性因素的法律规制,朱羿锟,"暨南大学法学院,广州510632",69.2,81,61.5,78.5,86.5,70,9.6,2.6,6.0,4.7,1.7,4.4,74.46,4.83
1055,中国社会科学,2018,行政改革试验授权制度的法理分析,杨登峰[1],"[1]南京师范大学法学院教授、中国法治现代化研究院,南京210023",82.2,79.8,76.8,88.5,85.2,75,6.8,3.5,3.9,7.0,2.5,8.2,81.25,5.32
1056,中国社会科学,2024,行政检察的监督范畴与体系构建,解志勇[1],"[1]中国政法大学比较法学研究院,北京100088",48.8,70.8,58.2,81.8,82,66.2,11.6,11.2,4.7,6.9,3.6,14.4,67.96,8.73
1057,中国社会科学,2016,行政法治视阈下的民生立法,张淑芳,上海财经大学法学院,33.2,58,42.5,79,63,60.5,3.9,12.3,2.9,6.8,7.3,7.1,56.04,6.72
1058,中国社会科学,2018,行政法视域下权力清单制度的重构,朱新力;余军,"浙江大学光华法学院,杭州310008",62.8,84,85.8,85.8,85.2,80.5,19.2,6.2,1.5,2.9,4.7,6.1,80.67,6.77
1059,中国社会科学,2017,行政组织法功能的行为法机制,"叶必丰[1,2]","[1]上海社会科学院法学研究所,上海200020;[2]上海交通大学法学院,上海200020",63.8,85.2,71.2,78.2,71.2,78.8,17.9,0.5,11.4,2.9,18.0,4.8,74.75,9.25
1060,中国社会科学,2025,行政规章与合同效力的关系,梁上上[1],"[1]清华大学法学院,北京100084",66.2,79,62.2,82.8,84.5,79.2,30.9,2.6,13.8,5.9,4.9,3.4,75.67,10.25
1061,中国社会科学,2020,行政许可的民法意义,"王轶[1,2]","[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学法学院,北京100872",69,85.5,87,91.8,92.2,79.2,17.5,5.3,2.4,2.9,0.5,6.5,84.12,5.85
1062,中国社会科学,2016,行政转型与行政法学的回应型变迁,江国华,"武汉大学法学院,武汉430072",28.8,70.8,35.8,73.2,81.8,66.2,6.3,3.4,1.5,4.3,3.3,7.5,59.42,4.38
1063,中国社会科学,2023,论“以国际法为基础的国际秩序”,蔡从燕[1],"[1]复旦大学法学院,上海200438",51.8,78.2,44.5,83.2,71.5,47.8,15.8,7.4,2.6,7.0,8.1,6.3,62.83,7.87
1064,中国社会科学,2022,论《民法典》实施中的思维转化——从单行法思维到法典化思维,王利明[1],"[1]中国人民大学法学院,北京100872",45,73.2,54.8,79.8,76,60.8,26.8,6.4,3.6,5.6,4.2,5.1,64.92,8.62
1065,中国社会科学,2015,论中国法治评估的转型,钱弘道[1];王朝霞[2],"[1]浙江大学光华法学院,杭州310008;[2]浙江工业大学法学院,杭州310023",33.2,67,45,71.8,77.5,74.5,3.9,9.6,2.4,3.5,5.6,5.3,61.5,5.05
1066,中国社会科学,2025,论人权普遍性的相对性,毛俊响[1],"[1]中南大学人权研究中心,长沙410083",50,87.5,50.8,82.8,86.2,58.8,0.0,3.3,6.8,3.3,1.5,3.8,69.33,3.12
1067,中国社会科学,2019,论人类命运共同体构建中的和平搁置争端,黄瑶[1],"[1]中山大学法学院,广州510275",37.5,73.5,47,80.2,79.2,72.8,6.5,4.4,3.5,6.0,6.0,8.3,65.04,5.78
1068,中国社会科学,2023,论作为新型财产权的数据财产权,张新宝[1],"[1]中国人民大学法学院,北京100872",63.8,79.2,72.5,87,84.8,59.2,30.0,7.6,3.3,1.7,0.5,5.1,73.87,8.03
1069,中国社会科学,2019,论公安侦查权与行政权的衔接,张泽涛[1],"[1]广州大学法学院,广州510006",57.8,72.8,59,77.5,78.5,73.2,17.7,15.3,11.0,5.6,4.0,4.3,69.79,9.65
1070,中国社会科学,2015,论刑事庭审实质化,汪海燕[1],"[1]中国政法大学刑事司法学院,北京100088",55.5,70,71.8,84,78.8,50.5,17.3,10.3,2.4,4.2,4.1,17.3,68.42,9.27
1071,中国社会科学,2025,论司法决策的适度“再情感化”,杜宴林[1],"[1]吉林大学理论法学研究中心,长春130012",52,55,45.8,77.8,82.5,79.5,14.8,0.0,5.9,5.1,7.1,3.0,65.42,5.98
1072,中国社会科学,2015,论国家政策作为民法法源,张红,"中南财经政法大学法学院,武汉430073",72,80.8,65.8,80,84.2,70.8,12.8,2.9,13.0,2.3,2.9,4.6,75.58,6.42
1073,中国社会科学,2015,论国家治理商数,江必新[1];邵长茂[2],"[1]中南大学法学院教授,长沙410083;[2]中南大学法学院博士研究生,长沙410083",31.2,42.5,58.8,70,67.2,55,2.5,19.6,11.1,6.3,15.2,7.1,54.12,10.3
1074,中国社会科学,2018,论大数据时代的个人数据权利,程啸[1],"[1]清华大学法学院,北京100084",69.2,82.8,67.5,83.8,84.2,48.8,12.2,4.6,12.2,4.2,1.5,7.5,72.71,7.03
1075,中国社会科学,2020,论我国检察权的新发展,周新[1],"[1]广东外语外贸大学法学院,广州510420",38.8,83.2,45,82,73.8,80,13.8,7.9,4.1,7.3,2.1,1.6,67.12,6.13
1076,中国社会科学,2017,论指导性案例的内容构成,朱芒,"上海交通大学凯原法学院,上海200030",75,61.8,72.5,81.8,80.2,63.2,7.3,18.3,3.3,2.9,3.3,22.4,72.42,9.58
1077,中国社会科学,2020,论数字货币的法律属性,杨延超[1],"[1]中国社会科学院法学研究所,北京100720",66,85,64.2,86,72.2,74.5,8.0,2.4,19.7,5.4,18.2,6.4,74.67,10.02
1078,中国社会科学,2020,论数据用益权,申卫星[1],"[1]清华大学法学院,北京100084",62.5,85,82.8,83.5,89.2,74.2,13.0,7.1,7.4,10.1,3.4,2.9,79.54,7.32
1079,中国社会科学,2018,论新型网络犯罪立法及其适用,皮勇,"武汉大学法学院,武汉470072",70.8,78,75.5,83,83.2,72.8,9.8,0.0,6.6,3.4,4.3,7.0,77.21,5.18
1080,中国社会科学,2016,论民事司法成本的分担,王福华,"上海财经大学法学院,上海200433",63.5,67.2,80.8,84.5,82.5,77.2,16.6,1.5,7.2,1.7,5.6,1.5,75.96,5.68
1081,中国社会科学,2020,论法律学说的司法运用,彭中礼[1],"[1]中南大学法学院,长沙410083",47,53.8,58,69.2,68.5,62.5,2.4,8.5,17.3,5.1,15.7,5.6,59.83,9.1
1082,中国社会科学,2015,论法律意识形态,季卫东,"上海交通大学法学院,上海200030",57.5,82.5,46.2,78.5,85,80.5,20.4,7.6,11.8,4.0,2.6,4.2,71.71,8.43
1083,中国社会科学,2024,论法治体系概念,侯学宾[1],"[1]吉林大学法学院,长春130012",30,53.8,50,73.2,59.2,60,0.0,1.3,4.4,4.3,11.2,4.4,54.38,4.27
1084,中国社会科学,2025,论法治思维的规则,陈金钊[1];李德进[2],"[1]华东政法大学法律方法研究院,上海201620;[2]广西师范大学法学院,桂林541001",32,72.2,55.2,77,78.5,54.2,4.0,6.8,26.4,2.0,6.0,13.5,61.54,9.78
1085,中国社会科学,2015,论法治评估的类型化,朱景文[1],"[1]中国人民大学法学院,北京100872",65,70.5,62,84,84.2,73.2,13.5,7.5,16.2,3.7,2.9,6.7,73.17,8.42
1086,中国社会科学,2020,论算法的法律规制,"丁晓东[1,2]","[1]中国人民大学法学院;[2]中国人民大学未来法治研究院,北京100872",58,85.5,76.2,85.5,79.8,71,24.2,3.3,3.5,6.6,3.3,5.4,76.78,7.72
1087,中国社会科学,2019,论结果导向的信息披露,应飞虎[1],"[1]广州大学法学院,广州510006",90,63.8,73.5,87.5,85.8,75,1.6,7.5,7.1,3.8,1.5,2.4,79.25,3.98
1088,中国社会科学,2015,论统一民事责任制度的建构——基于责任融合的“后果模式”,张家勇[1],"[1]四川大学法学院,成都610207",70.8,83.2,86.2,88.5,76.8,77,15.1,3.5,3.5,4.0,19.6,3.5,80.42,8.2
1089,中国社会科学,2022,论统筹推进国内法治和涉外法治,黄进[1],"[1]中国政法大学全面依法治国研究院,北京100088",30,13.8,41.5,56,45.8,48.8,0.0,18.9,5.7,4.2,1.5,2.5,39.29,5.47
1090,中国社会科学,2015,论诉权的人权属性——以历史演进为视角,吴英姿[1],"[1]南京大学法学院,南京210093",71.5,81.5,79.2,83.5,85.8,64.5,11.1,2.6,3.0,3.7,1.5,4.9,77.67,4.47
1091,中国社会科学,2024,论预测性司法,王禄生[1],"[1]东南大学法学院,南京211189",73,76.5,83.8,87.5,82.2,74.8,6.3,4.4,8.4,3.8,3.1,7.6,79.62,5.6
1092,中国社会科学,2022,证券中介机构法律责任配置,邢会强[1],"[1]中央财经大学法学院,北京100081",77.8,81.5,69.5,86.2,87,79.8,7.6,4.0,13.8,3.5,3.5,5.6,80.29,6.33
1093,中国社会科学,2016,财产权宪法化与近代中国社会本位立法,聂鑫,"清华大学法学院副教授,北京100084",77.5,86.2,41.5,89,85.2,67.2,8.8,2.8,3.0,5.3,0.5,7.0,74.46,4.57
1094,中国社会科学,2024,财税法一体化的理论逻辑与实践转向,蒋悟真[1],"[1]华南理工大学法学院,广州510006",40,83.2,55,83.8,83,78.2,10.0,4.3,7.0,1.3,3.4,3.3,70.54,4.88
1095,中国社会科学,2016,赌博的法律规制,许德风,"北京大学法学院,北京100871",67,61.8,78.5,86,85,80.8,10.5,11.6,5.2,6.1,2.4,2.2,76.5,6.33
1096,中国社会科学,2016,转型时期刑法立法的思路与方法,周光权,"清华大学法学院,北京100084",71.2,79.2,70,82.5,80.8,82.8,5.4,3.4,9.1,5.3,3.4,3.3,77.75,4.98
1097,中国社会科学,2020,违约金酌减预测研究,屈茂辉[1],"[1]湖南大学法学院,长沙410082",67.5,77,65.2,79.5,78.5,77.8,6.6,4.2,31.6,7.0,7.4,2.1,74.25,9.82
1098,中国社会科学,2021,"重构""法的渊源""范畴",雷磊[1],[1]中国政法大学法学院北京100088,83.2,89.8,89.2,83.2,90,61.2,4.3,3.3,1.0,9.1,1.6,9.5,82.79,4.8
1099,中国社会科学,2020,重构罪刑法定原则,高巍[1],"[1]云南大学法学院,昆明650091",77.2,84,65.5,87.5,86.8,67.5,4.6,2.8,20.6,2.1,1.5,5.6,78.08,6.2
1100,中国社会科学,2016,非法证据排除规则的中国范式——基于1459个刑事案例的分析,易延友,"清华大学法学院,北京100084",75.2,50.5,72,77,86.8,77,8.3,27.0,5.0,3.5,1.5,2.4,73.08,7.95
1101,中国社会科学,2024,面向“三维世界”的数字法学,马长山[1],"[1]华东政法大学,上海200042",36.2,34.5,47.5,72.8,72.8,59.2,2.5,24.4,2.9,7.4,12.1,23.2,53.83,12.08
1102,中国社会科学,2017,风险控制的部门法思路及其超越,宋亚辉,"南京大学法学院,南京210093",83.8,81,85.8,85.8,85.8,70.8,3.5,6.5,7.0,1.5,1.7,10.6,82.12,5.13
1103,中国社会科学,2017,马克思的法律发展思想及其当代意义,公丕祥,"南京师范大学法学院,南京210023",33.8,55,47,80,51.5,62.5,2.5,2.4,6.3,6.7,7.5,9.7,54.96,5.85
1104,法学研究,2017,2016年后反倾销领域中国（非）市场经济地位问题,左海聪;林思思,南开大学法学院,79.2,84.2,67.8,85.8,89.2,77.2,3.4,3.0,9.2,1.7,3.0,1.5,80.58,3.63
1105,法学研究,2020,WTO《多方临时上诉仲裁安排》:基于仲裁的上诉替代,石静霞[1],[1]中国人民大学法学院,77,74,52.8,86.2,82,74.2,4.2,10.5,13.5,4.2,5.7,2.9,74.38,6.83
1106,法学研究,2022,"""债权物权化""之范畴厘定",袁野[1],[1]武汉大学法学院,85.8,90,85.8,87.5,87.2,71.5,4.3,2.3,1.5,3.3,1.5,6.0,84.62,3.15
1107,法学研究,2019,“八议”源流与腹边文化互动,苏亦工[1],[1]清华大学法学院,65,81.5,60.8,81,74.2,45,13.9,2.9,13.4,6.2,13.0,9.1,67.92,9.75
1108,法学研究,2024,“六事”视野中的清代则例,陈煜[1],[1]中国政法大学法律史学研究院,32.5,68.8,62.8,83.8,68.5,34.5,2.9,6.3,5.1,3.5,22.6,18.4,58.46,9.8
1109,法学研究,2020,“对赌协议”的裁判路径及政策选择——基于PE/VC与公司对赌场景的分析,刘燕[1],[1]北京大学法学院,79,81.5,80,88.8,83.5,82.2,16.1,4.0,4.4,3.0,1.7,1.7,82.5,5.15
1110,法学研究,2020,“御史监察”的历史构造与运转实效,明辉[1],[1]北京航空航天大学法学院,71.7,51,63.2,71.5,65.2,59.8,14.6,9.2,9.9,4.0,6.5,6.7,63.39,8.48
1111,法学研究,2015,“直诉”源流通说辨正,王捷,华东政法大学法律古籍整理研究所,85.2,89,77,85.8,85,72.8,6.9,4.8,8.5,5.7,0.8,1.5,82.7,4.7
1112,法学研究,2016,“祖制”的法律解读,朱勇,中国政法大学法律史学研究院教授,49.2,37.5,61.8,80.5,72.5,45,21.7,8.7,6.2,6.6,8.8,7.1,57.75,9.85
1113,法学研究,2017,“谁主张谁举证”规则的历史变迁与现代运用,胡东海,中南财经政法大学法学院,71.2,83.5,63.5,89.5,87.2,72.5,22.3,3.7,22.9,4.2,1.5,6.4,77.92,10.17
1114,法学研究,2017,《印中搜闻》与19世纪早期西方人的中国法律观,李秀清,华东政法大学法律学院,42.5,73.2,50,72.8,68.2,33.8,11.9,3.5,7.1,4.6,9.4,2.5,57.36,6.5
1115,法学研究,2017,《大清新刑律》编纂过程中的法权之争,陈新宇,清华大学法学院,70,61.5,42.5,83,81.8,69.5,23.8,7.0,2.9,6.2,2.9,14.3,68.04,9.52
1116,法学研究,2023,《巴黎协定》下国家自主贡献的双重义务模式,陈贻健[1],[1]深圳大学法学院,56,67.2,60.8,81.2,82.8,79.2,16.0,7.4,11.8,3.0,3.6,2.5,71.21,7.38
1117,法学研究,2021,《新加坡调解公约》在中国的批准与实施,孙南翔,中国社会科学院国际法研究所,61.5,77.2,61.2,73.5,75.5,57.5,14.5,3.6,9.5,5.8,11.7,9.6,67.75,9.12
1118,法学研究,2021,《海牙判决公约》谈判与知识产权的国际司法合作,何其生,北京大学法学院,51.2,58,64.2,81.8,80,77.5,18.9,38.7,10.7,6.9,4.4,6.4,68.79,14.33
1119,法学研究,2015,一人一票原则在我国的适用,屠振宇,南京师范大学法学院,82,78.8,74,83,86,71.2,4.2,3.0,8.0,6.0,1.4,9.4,79.17,5.33
1120,法学研究,2019,一致性解释原则在国际贸易行政案件中的适用,彭岳[1],[1]南京大学法学院,82.5,81.5,85.5,80,85.2,83.8,3.3,1.0,5.0,8.1,0.5,2.5,83.08,3.4
1121,法学研究,2023,一致解释原则的功能及适用要件,彭岳[1],[1]南京大学法学院,63,84.2,64.8,85,82.5,72.5,13.6,4.9,23.5,2.4,3.1,3.3,75.33,8.47
1122,法学研究,2021,上市公司实际控制人法律责任的反思与构建,郑彧,华东政法大学,76.2,84.5,75.5,82.8,82,78.8,2.5,0.6,6.7,3.6,3.3,4.8,79.96,3.58
1124,法学研究,2025,不动产定期承租人的预期违约责任——兼评“合同编通则解释”第61条,庄加园[1],[1]上海交通大学凯原法学院,76,88.2,75,86.8,84,74.8,14.2,2.9,13.6,1.5,3.4,1.5,80.79,6.18
1125,法学研究,2018,不真正不作为犯的边界,姚诗[1],[1]湖南大学法学院,88.2,84.8,86.8,84.5,84.2,77.5,2.9,5.0,8.1,4.5,1.7,5.7,84.33,4.65
