编号,期刊,年份,卷,期,题目,作者,作者机构,页数,原分类,专家分类,分类情形
885,中国法学,2021,,3,"迈向""规划""时代的法治中国建设",马怀德[1],[1]中国政法大学,20,法学理论,,
886,中国法学,2015,0,6,近代中国宪制的发展,聂鑫,清华大学法学院,17,法律史,,
887,中国法学,2021,0,1,远程工作的立法理念与制度建构,谢增毅,中国社会科学院法学研究所,21,法学理论,,
888,中国法学,2015,0,5,连带责任的弹性不足及其克服,张平华,烟台大学法学院,22,民商法学,,
889,中国法学,2015,0,6,退休年龄的法理分析及制度安排,林嘉,中国人民大学法学院、中国人民大学民商事法律科学研究中心,20,法学理论,,
890,中国法学,2020,,3,通过政策的司法治理,李红勃[1],[1]中国政法大学法治政府研究院,17,法学理论,,
891,中国法学,2020,,5,通过立法的文化传承,杨建军[1],[1]西北政法大学刑事法学院,19,法学理论,,
892,中国法学,2023,000,4,逮捕社会危险性条件中犯罪嫌疑人逃跑风险评估研究,张吉喜[1],[1]西南政法大学诉讼法与司法改革研究中心,24,刑法学,,
893,中国法学,2021,0,1,遗产限定继承论,马新彦,吉林大学法学院,20,民商法学,,
894,中国法学,2017,0,4,避免将行政违法认定为刑事犯罪：理念、方法与路径,张明楷,清华大学法学院,20,刑法学,,
895,中国法学,2018,,3,酌定不起诉制度的再考查,郭烁,北京交通大学法学院,21,诉讼法学,,
896,中国法学,2016,0,1,释宪机制的影响因子及其中国构造,刘国,江西财经大学法学院,14,法学理论,,
897,中国法学,2015,0,5,释法抑或造法：由刑法历次修正引发的思考,杨柳[1],[1]中南财经政法大学刑事司法学院,16,刑法学,,
898,中国法学,2015,0,2,重复诉讼规制研究：兼论“一事不再理”,张卫平[1],[1]清华大学法学院,23,诉讼法学,,
899,中国法学,2015,0,3,重大行政决策概念证伪及其补正,熊樟林[1],[1]东南大学法学院,20,宪法学与行政法学,,
900,中国法学,2020,,6,重新发现“同案”:构建案件相似性的判断标准,孙海波[1],[1]中国政法大学比较法学研究院,20,诉讼法学,,
901,中国法学,2015,0,4,重构“禁止抽逃出资”规则的公司法理基础,刘燕,[1]北京大学法学院;北京大学法学院公司财务与法律研究中心,25,民商法学,,
902,中国法学,2024,000,1,金融诈骗罪特别从宽于诈骗罪的再认识,徐光华[1],[1]华东政法大学刑事法学院,20,刑法学,,
903,中国法学,2016,,2,错案责任追究与豁免,"朱孝清[1,2]",[1]全国政协;[2]全国政协社会和法制委员会,23,诉讼法学,,
904,中国法学,2015,0,4,集体经营性建设用地“同等入市”的法制革新,温世扬,[1]中南财经政法大学法学院,18,环境与资源保护法学,,
905,中国法学,2015,0,5,非典型与典型案件：术语、成因及其关系,周赟[1],[1]厦门大学法学院,21,法学理论,,
906,中国法学,2017,0,4,非法持有枪支罪的司法认定,王钢,清华大学法学院,19,刑法学,,
907,中国法学,2018,,1,预防性刑法观及其教义学思考,高铭暄[1];孙道萃[2],[1]中国人民大学法学院;[2]北京师范大学刑事法律科学研究院,24,刑法学,,
908,中国法学,2017,0,4,香港新宪制秩序的法理基础：分权还是授权,程洁,清华大学法学院,16,法学理论,,
909,中国法学,2018,,4,高校校规的法律属性研究,朱芒,上海交通大学法学院,20,宪法学与行政法学,,
910,中国法学,2017,,5,高校校规：司法适用的正当性与适用原则,徐靖,中南大学法学院,20,宪法学与行政法学,,
911,中国法学,2020,,5,高等学校“非升即走”聘用合同法律性质及其制度法治逻辑,徐靖[1],[1]中南大学法学院,20,民商法学,,
912,中国社会科学,2023,000,6,1768年叫魂案再审视与解读,茆巍[1],"[1]华东政法大学科学研究院,上海201620",19,诉讼法学,,
913,中国社会科学,2021,0,1,"""一带一路""倡议与国际法——基于国际公共产品供给视角的分析",石静霞,"中国人民大学法学院,北京100872",26,国际法学,,
914,中国社会科学,2022,000,12,“中国特色社会主义法治理论” 考,何勤华[1];周小凡[2],"[1]华东政法大学法律文明史研究院,上海200042;[2]上海交通大学凯原法学院,上海200030",14,法学理论,,
915,中国社会科学,2019,,6,个人信息民法保护的模式选择,王成[1],"[1]北京大学法学院,北京100871",24,民商法学,,
916,中国社会科学,2021,0,10,中华法的政治机理——基于秦汉与古罗马时期的比较视角,王志强[1],"[1]复旦大学法学院,上海200438",22,法律史,,
917,中国社会科学,2025,000,4,中国专利交易中的绝对权类型法定,张轶[1],"[1]深圳大学法学院,深圳518000",20,知识产权法学,,
918,中国社会科学,2022,000,12,中国共产党创造法治文明新形态的历史叙事,付子堂[1],"[1]西南政法大学人权学院、纪检监察学院,重庆401120",14,法学理论,,
919,中国社会科学,2022,000,12,中国刑事程序法治文明的新发展,陈卫东[1],"[1]中国人民大学法学院,北京100872",12,刑法学,,
920,中国社会科学,2015,0,7,中国刑事证据制度体系的优化,张栋[1],"[1]华东政法大学法律学院,上海200042",24,诉讼法学,,
921,中国社会科学,2019,,5,中国合宪性审查的宪法文本实现,刘连泰[1],"[1]厦门大学法学院,厦门361005",22,宪法学与行政法学,,
922,中国社会科学,2023,000,12,中国宪法上基本权利法律保留的生成与构造,陈鹏[1],"[1]厦门大学法学院,厦门361005",20,宪法学与行政法学,,
923,中国社会科学,2024,000,9,中国宪法权力监督功能的规范分析,刘练军[1],"[1]东南大学法学院,南京211189",11,宪法学与行政法学,,
924,中国社会科学,2023,000,3,中国宪法社会权的体系解释,刘晗[1],"[1]清华大学法学院,北京100084",19,宪法学与行政法学,,
925,中国社会科学,2022,000,12,中国式物权制度的文明刻度,蔡立东[1],"[1]吉林大学,长春130012",12,民商法学,,
927,中国社会科学,2018,,1,中国政府治理的法治路径,石佑启;杨治坤,"广东外语外贸大学,广州510420",24,宪法学与行政法学,,
928,中国社会科学,2017,,1,中国民众刑法偏好研究,白建军,"北京大学法学院,北京100871",21,刑法学,,
929,中国社会科学,2017,,12,中国法律规范体系与立法效果评估,"冯玉军[1,2]","[1]中国人民大学法学院,北京100872;[2]河北经贸大学,石家庄050061",22,法学理论,,
930,中国社会科学,2019,,1,中国法治社会的结构及其运行机制,陈柏峰[1],"[1]中南财经政法大学法学院、教育部,武汉430073",26,宪法学与行政法学,,
931,中国社会科学,2018,,11,中国法理学进步的阶梯,徐显明[1],[1]不详,16,法学理论,,
932,中国社会科学,2015,0,6,中国海上航运的安保模式及其法律保障——以应对21世纪海上丝路的海盗为例,"李卫海[1,2]","[1]中国政法大学,北京102249;[2]教育部'2011计划'司法文明协同创新研究中心,北京102249",21,国际法学,,
933,中国社会科学,2024,000,9,中国生态环境法治的空间拓展及其规则创新,刘超[1],"[1]华侨大学法学院,泉州362021",12,环境与资源保护法学,,
934,中国社会科学,2018,,8,中国知识产权法律变迁的基本面向,吴汉东[1],"[1]中南财经政法大学,武汉430074",20,知识产权法学,,
935,中国社会科学,2015,0,12,中国自治型公司法的理论证成及制度实现,赵万一;赵吟,"西南政法大学民商法学院,重庆401120",21,民商法学,,
936,中国社会科学,2018,,7,中国著作权立法中的制度创新,熊琦,"华中科技大学法学院,武汉430074",21,知识产权法学,,
937,中国社会科学,2022,000,5,中国行政法学学术体系的构造,周佑勇[1],"[1]中共中央党校(国家行政学院)政治和法律教研部,北京100091",19,宪法学与行政法学,,
938,中国社会科学,2021,0,3,习近平法治思想的实践逻辑、理论逻辑和历史逻辑,张文显[1],[1]吉林大学长春130012,23,法学理论,,
939,中国社会科学,2017,0,8,事实、证据与事实认定,张保生,"中国政法大学证据科学教育部重点实验室,北京100088",21,诉讼法学,,
940,中国社会科学,2017,,2,事权划分法治化的中国路径,刘剑文[1];侯卓[2],"[1]北京大学法学院、中国财税法治战略研究院,北京100871;[2]中南财经政法大学法学院,武汉430073",21,宪法学与行政法学,,
941,中国社会科学,2015,0,4,互联网金融的法律规制——基于信息工具的视角,杨东[1],"[1]中国人民大学法学院、中国人民大学民商事法律科学研究中心,北京100872",20,经济法学,,
942,中国社会科学,2022,000,11,人合性在有限公司中的终结,梁上上[1],"[1]清华大学法学院,北京100084",20,民商法学,,
943,中国社会科学,2025,000,1,人工智能法律治理的路径拓展,张凌寒[1],"[1]中国政法大学数据法治研究院,北京100083",20,法学理论,,
944,中国社会科学,2020,,4,人性民法与物性刑法的融合发展,刘艳红[1],"[1]东南大学法学院,南京211189",26,刑法学,,
945,中国社会科学,2016,,5,人的尊严的法律属性辨析,胡玉鸿,"苏州大学王健法学院,苏州215006",19,法学理论,,
946,中国社会科学,2021,0,4,"从""权能分离""到""权利行使""",蔡立东,"吉林大学、司法数据应用研究中心,长春130012",20,民商法学,,
947,中国社会科学,2022,000,7,从控制到利用：刑法数据治理的模式转换,于改之[1],"[1]上海交通大学凯原法学院,上海200030",19,刑法学,,
948,中国社会科学,2018,,2,从民法通则到民法总则：中国当代民法的历史性跨越,杨立新,"天津大学法学院,天津300072",26,民商法学,,
949,中国社会科学,2021,0,4,从治外法权到域外规治——以管辖理论为视角,屈文生,"华东政法大学法律文明史研究院、外语学院,上海201620",24,国际法学,,
950,中国社会科学,2025,000,5,从身份到行为：劳动法规范构造的转型,王天玉[1],"[1]中国社会科学院法学研究所,北京100720",19,民商法学,,
951,中国社会科学,2020,,2,以“生态恢复论”重构环境侵权救济体系,吕忠梅[1];窦海阳[2],"[1]清华大学法学院,北京100084;[2]中国社会科学院法学研究所,北京100720",25,环境与资源保护法学,,
952,中国社会科学,2019,,8,作为国家机构原则的民主集中制,王旭[1],"[1]中国人民大学法学院,北京100872",24,法学理论,,
953,中国社会科学,2020,,11,依宪立法原则与合宪性审查,莫纪宏[1],"[1]中国社会科学院国际法研究所,北京100009",22,宪法学与行政法学,,
954,中国社会科学,2023,000,2,先秦法的概念隐喻,汪太贤[1],"[1]广西大学法学院,南宁530004",19,法律史,,
955,中国社会科学,2017,,3,公司法中的契约自由——以股权处分抑制条款为视角,冯果;段丙华,"武汉大学法学院,武汉430072",21,民商法学,,
956,中国社会科学,2015,0,11,公序良俗原则与诚实信用原则的区分,于飞,"中国政法大学民商经济法学院,北京100088",17,民商法学,民商法学,
957,中国社会科学,2016,,11,公权与私权共治的法律机制,唐清利,"西南财经大学法学院,成都610074",18,法学理论,,
958,中国社会科学,2016,,6,公民参与行政的风险及法律规制,王旭,"中国人民大学法学院副教授,北京100872",21,诉讼法学,,
959,中国社会科学,2017,,9,共享经济的法律规制,蒋大兴;王首杰,北京大学法学院,22,民商法学,,
960,中国社会科学,2018,,4,内幕交易惩罚性赔偿制度的构造原理与现实选择,邢会强,"中央财经大学法学院,北京100081",20,民商法学,,
961,中国社会科学,2017,,5,农地三权分置的法实现,"蔡立东[1,2];姜楠[1]","[1]吉林大学法学院,长春130012;[2]吉林大学理论法学研究中心",21,环境与资源保护法学,,
962,中国社会科学,2021,0,2,刑事司法人工智能的包容性规制,李训虎,"中国政法大学证据科学研究院,北京100088",22,诉讼法学,,
963,中国社会科学,2022,000,8,刑事司法领域的宪法判断与刑法制度文明,周光权[1],"[1]清华大学法学院,北京100084",20,宪法学与行政法学,,
964,中国社会科学,2023,000,7,刑法解释的价值判断,姜涛[1],"[1]华东政法大学刑事法学院,上海201620",23,刑法学,,
965,中国社会科学,2016,,4,制度激励、博弈均衡与社会正义,丁利,中山大学法学院,24,法学理论,,
966,中国社会科学,2018,,6,包容性法治框架下的社会组织治理,张清;武艳,"扬州大学法学院,扬州225009",19,法学理论,,
967,中国社会科学,2022,000,4,区域协调发展的国家保障义务,李海平[1],"[1]吉林大学理论法学研究中心,长春130012",20,法学理论,,
968,中国社会科学,2019,,9,原则/例外关系的民法阐释,易军[1],"[1]中国政法大学民商经济法学院,北京100088",26,民商法学,,
969,中国社会科学,2017,,3,反垄断法分析模式的中国选择,叶卫平,"深圳大学法学院,深圳518060",20,经济法学,,
970,中国社会科学,2023,000,5,发展型财税法的理念跃迁与制度构造,刘剑文[1];侯卓[2],"[1]辽宁大学,沈阳110036;[2]中南财经政法大学法学院,武汉430073",19,经济法学,,
971,中国社会科学,2015,0,1,口供治理与中国刑事司法裁判,"李训虎[1,2]",[1]2011计划司法文明协同创新中心;[2]中国政法大学证据科学研究院,19,诉讼法学,,
972,中国社会科学,2015,0,4,司法公信力的理性解释与建构,胡铭[1],"[1]浙江大学光华法学院,杭州310008",22,刑法学,,
973,中国社会科学,2017,0,6,司法公正与同理心正义,杜宴林,"吉林大学理论法学研究中心/司法文明协同创新中心,长春130012",19,法学理论,,
974,中国社会科学,2017,0,6,司法方法在裁判中的运用——法条至上、原则裁判与后果权衡,任强,"中山大学法学院,广州510275",22,法学理论,,
975,中国社会科学,2019,,4,合理怀疑的本土类型与法理建构,栗峥[1],"[1]中国政法大学诉讼法学研究院,北京100088",27,诉讼法学,,
976,中国社会科学,2023,000,9,唐律说“理”,胡玉鸿[1],"[1]华东政法大学人权研究院,上海200042",23,法律史,,
977,中国社会科学,2017,,11,商业银行股东加重责任及其制度建构,杨松[1];宋怡林[2],"[1]辽宁大学法学院,沈阳110136;[2]辽宁科技大学经济与法律学院,鞍山114051",22,民商法学,,
978,中国社会科学,2022,0,2,商法一般条款的类型化适用,杨;峰[1],"[1]南昌大学法学院,南昌330031",21,民商法学,,
979,中国社会科学,2018,,12,商法漏洞的特别法属性及其填补规则,钱玉林[1],"[1]华东政法大学经济法学院,上海200042",20,民商法学,,
980,中国社会科学,2016,0,12,商法的独特性与民法典总则编纂,许中缘;颜克云,"中南大学法学院,长沙410086",19,民商法学,,
981,中国社会科学,2021,0,11,国家保护视野中的个人信息权利束,王锡锌[1],[1]北京大学法学院北京100871,22,宪法学与行政法学,,
982,中国社会科学,2017,,3,国际会计准则的困境与财务报表的改进——马克思虚拟资本理论的视角,"周华[1];戴德明[1];刘俊海[2];叶建明[3,4]","[1]中国人民大学商学院,北京100872;[2]中国人民大学法学院,北京100872;[3]芝加哥大学统计学博士和哥伦比亚大学;[4]厦门大学管理学院,厦门361005",22,法学理论,,
983,中国社会科学,2015,0,10,国际法治的中国表达,何志鹏,,11,国际法学,,
984,中国社会科学,2021,0,5,国际法的守正与创新——以全球治理体系变革的规范需求为视角,赵骏,"浙江大学光华法学院,杭州310008",27,国际法学,,
985,中国社会科学,2015,0,9,国际贸易投资规则的再构建及中国的因应,石静霞[1],"[1]对外经济贸易大学法学院教授,北京100029",18,国际法学,,
986,中国社会科学,2019,,10,在新的历史起点上推进中国特色法学体系构建,张文显[1],[1]不详,20,法学理论,,
987,中国社会科学,2021,0,5,地方政府的价值治理及其制度效能,周尚君,"西南政法大学行政法学院,重庆401120",21,宪法学与行政法学,,
988,中国社会科学,2018,,6,地方法院庭审实质化改革实证研究,左卫民,"国家2011计划“司法文明协同创新中心”、四川大学,成都610207",24,诉讼法学,,
989,中国社会科学,2023,000,9,基于中国治理实践的行政法学命题转换,石佑启[1],"[1]广东外语外贸大学法学院,广州510420",22,宪法学与行政法学,,
990,中国社会科学,2016,,7,基于规则与事实的司法哲学范畴,孙笑侠,"复旦大学法学院,上海200438",19,法学理论,,
991,中国社会科学,2018,,9,基本法律概念的构建与诠释——以权利与权力的关系为重心,刘杨[1],"[1]暨南大学知识产权研究院、法学院/知识产权学院,广州510632",26,法学理论,,
992,中国社会科学,2023,000,8,多边主义与国际法治,廖凡[1],"[1]中国社会科学院大学法学院,北京102488",20,国际法学,,
993,中国社会科学,2019,,6,多边贸易、市场规则与技术标准定价,马一德[1],"[1]中南财经政法大学,武汉430073",19,知识产权法学,,
994,中国社会科学,2024,000,12,大变局背景下的国际商事仲裁：世界潮流与中国因应,刘晓红[1];冯硕[1],"[1]上海政法学院国际法学院(国际仲裁学院),上海201701",20,国际法学,,
995,中国社会科学,2017,,5,大国司法理念与中国国际民事诉讼制度的发展,何其生[1],"[1]北京大学法学院,北京100871",24,诉讼法学,,
996,中国社会科学,2022,000,7,宋代女性的土地权利保护,柴荣[1],"[1]北京师范大学法学院,北京100875",17,法律史,,
997,中国社会科学,2016,,9,宪法框架下的协商民主及其法治化路径,马一德,"中南财经政法大学法学院教授,武汉430073",18,宪法学与行政法学,,
998,中国社会科学,2022,000,8,家庭财产功能主义的法律范式,赵玉[1],"[1]国家检察官学院,北京102206",21,民商法学,,
999,中国社会科学,2017,,2,我国劳动关系法律调整模式的转变,谢增毅,"中国社会科学院法学研究所,北京100720",21,民商法学,,
1000,中国社会科学,2024,000,6,授权资本制的中国运行机理,傅穹[1],"[1]吉林大学法学院,长春130012",22,民商法学,,
1001,中国社会科学,2016,,7,推进农地三权分置经营模式的立法研究,孙宪忠,"中国社会科学院法学研究所,北京100727",19,环境与资源保护法学,,
1002,中国社会科学,2024,000,8,政府治理中社会整体利益的法治实现,冯辉[1],"[1]对外经济贸易大学法学院,北京100029",22,宪法学与行政法学,,
1003,中国社会科学,2022,0,2,政法范畴的本体论诠释,黄文艺[1],"[1]中国人民大学法学院,北京100872",21,党内法规学,,
1004,中国社会科学,2024,000,7,数字化背景下刑事诉讼权利结构的优化,郑曦[1],"[1]北京外国语大学法学院,北京100089",21,诉讼法学,,
1005,中国社会科学,2021,0,5,数字平台的反垄断监管,孙晋,"武汉大学法学院,武汉430072",29,经济法学,,
1006,中国社会科学,2024,000,10,数字时代劳动关系概念及认定规范的中国表达,谢增毅[1],"[1]中国社会科学院法学研究所,北京100720",24,民商法学,,
1007,中国社会科学,2016,,9,数据的法律属性及其民法定位,梅夏英,"对外经济贸易大学法学院教授,北京100029",20,民商法学,,
1008,中国社会科学,2018,,1,新时代中国法治建设的基本问题,王利明,不详,10,法学理论,,
1009,中国社会科学,2018,,3,新税制改革与创新驱动发展战略,许多奇[1],"[1]上海交通大学凯原法学院,上海200030",24,经济法学,,
1010,中国社会科学,2019,,4,智慧社会建设中的“众创”式制度变革——基于“网约车”合法化进程的法理学分析,马长山[1],"[1]华东政法大学,上海200042",25,法学理论,,
1011,中国社会科学,2025,000,6,构建新时代法学学科体系,马怀德[1],"[1]中国政法大学,北京100088",19,法学理论,,
1012,中国社会科学,2018,,7,标表型人格权的构造与人格权商品化批判,房绍坤[1];曹相见[2],"[1]吉林大学法学院,长春130012;[2]山东农业大学文法学院,泰安271018",24,民商法学,,
1013,中国社会科学,2018,,2,欧洲中世纪教会经济立法及其伦理,赵立行,"复旦大学法学院,上海200438",20,法律史,,
1014,中国社会科学,2021,0,4,比例原则适用的范式转型,蒋红珍,"上海交通大学凯原法学院,上海200030",24,法学理论,,
1015,中国社会科学,2015,0,5,民事法律的正当溯及既往问题,房绍坤;张洪波,"烟台大学法学院,烟台264005",19,民商法学,,
1016,中国社会科学,2015,0,10,治国之法中的国际法：中国主张和制度实践,古祖雪,,12,国际法学,,
1017,中国社会科学,2017,,4,治国理政的法治理念和法治思维,张文显,,27,法学理论,,
1018,中国社会科学,2024,000,5,法律行为的内在正义与外在正义,杨代雄[1],"[1]华东政法大学法律学院,上海201620",18,民商法学,,
1020,中国社会科学,2016,0,10,法治视野下的司法预算模式建构,朱大旗;李帅,"中国人民大学法学院,北京100872",18,宪法学与行政法学,,
1021,中国社会科学,2015,0,10,法治：中国与世界——国际法治与中国法治建设,曾令良,,13,国际法学,,
1022,中国社会科学,2017,0,7,法益保护与比例原则,张明楷,"清华大学法学院,北京100084",21,刑法学,,
1023,中国社会科学,2024,000,3,法益修复与功能违法论,杜宇[1],"[1]复旦大学法学院,上海200438",20,刑法学,,
1024,中国社会科学,2017,,9,海洋法权论,杨华,不详,21,国际法学,,
1025,中国社会科学,2018,,10,犯罪化与惩罚体系的完善,时延安,"中国人民大学法学院,北京100059",24,刑法学,,
1026,中国社会科学,2021,0,10,犯罪统计与犯罪治理的优化,卢建平[1],"[1]北京师范大学法学院,北京100875",23,刑法学,,
1027,中国社会科学,2022,0,2,环境法体系化中的我国保护地体系,杜群[1],"[1]北京航空航天大学法学院,北京100191",20,环境与资源保护法学,,
1028,中国社会科学,2022,000,12,现代化中华法治文明及其世界意义,李林[1],"[1]中国社会科学院法学研究所,北京100720",11,法律史,,
1029,中国社会科学,2017,,11,生态文明保障的刑法机制,焦艳鹏,"重庆大学法学院,重庆400044",24,环境与资源保护法学,,
1030,中国社会科学,2025,000,2,生态环境刑法立法的内在构造,李梁[1],"[1]中央民族大学法学院,北京100081",22,环境与资源保护法学,,
1031,中国社会科学,2024,000,3,生态环境法典编纂的二元逻辑及其展开,钭晓东[1],"[1]浙江大学光华法学院,杭州310008",20,环境与资源保护法学,,
1032,中国社会科学,2018,,5,监管科技:金融科技的监管挑战与维度建构,"杨东[1,2]","[1]中国人民大学法学院未来法治研究院,北京100872;[2]中国人民大学民商事法律科学研究中心,北京100872",24,经济法学,,
1033,中国社会科学,2024,000,9,知识产权法域外适用的制度构造,万勇[1],"[1]中国人民大学法学院,北京100872",12,知识产权法学,,
1034,中国社会科学,2022,000,4,知识产权的边界:以客体可控性为线索,易继明[1];李春晖[2],"[1]北京大学法学院,北京100871;[2]天津大学法学院,天津300072",20,知识产权法学,,
1035,中国社会科学,2024,000,1,社会主义核心价值观在民事裁判中的功能,于飞[1],"中国政法大学民商经济法学院,北京102249",20,民商法学,,
1036,中国社会科学,2024,000,9,社会公共利益的私法实现机制,赵万一[1],"[1]西南政法大学市场交易法律制度研究基地,重庆401120",11,民商法学,,
1037,中国社会科学,2022,000,5,社会诚信建设与基层治理能力的再造,陈柏峰[1],"[1]中南财经政法大学法学院、国家治理学院,武汉430073",21,法学理论,,
1038,中国社会科学,2019,,7,社会风险的刑法调控及其模式改造,"姜涛[1,2]","[1]南京师范大学,南京210023;[2]中国法治现代化研究院",27,刑法学,,
1039,中国社会科学,2023,000,9,私法中的分配层次,谢鸿飞[1],"[1]中国社会科学院法学研究所,北京100720",19,民商法学,,
1040,中国社会科学,2017,,1,科学不确定性背景下的环境正义——基于转基因生物安全问题的讨论,王明远[1];金峰[2],"[1]清华大学法学院,北京100084;[2]上海市农业委员会政策法规处,上海200003",18,法学理论,,
1041,中国社会科学,2020,,9,科研合同的功能性规制,胡明[1],"[1]华南理工大学法学院,广州510006",27,民商法学,,
1042,中国社会科学,2015,0,2,税制变迁与税收法治现代化,张守文[1],"[1]北京大学法学院,北京100871",23,法学理论,,
1043,中国社会科学,2021,0,9,空间正义实现的公共规制,靳文辉[1],"[1]重庆大学法学院,重庆400045",24,法学理论,,
1044,中国社会科学,2019,,11,粤港澳大湾区治理创新的法治进路,石佑启[1];陈可翔[2],"[1]广东外语外贸大学法学院,广州510420;[2]中南财经政法大学,武汉430073",24,法学理论,,
1045,中国社会科学,2019,,12,经济权利保障的宪法逻辑,翟国强[1],"[1]中国社会科学院法学研究所,北京100720",23,宪法学与行政法学,,
1046,中国社会科学,2016,0,2,网络交易法律关系构造,杨立新,"中国人民大学民商事法律科学研究中心,北京100872",24,民商法学,,
1047,中国社会科学,2016,0,10,网络时代言论自由的刑法边界,刘艳红,"东南大学法学院,南京211189",19,刑法学,,
1048,中国社会科学,2018,,2,网络社会治理的法治模式,徐汉明;张新平,"中南财经政法大学,武汉430073",24,民商法学,,
1049,中国社会科学,2016,,8,网络空间主权的治理模式及其制度构建,张新宝;许可,中国人民大学法学院,20,国际法学,,
1050,中国社会科学,2021,0,10,网络空间安全立法的双重基础,张龑[1],"[1]中国人民大学法学院,北京100872",24,宪法学与行政法学,,
1051,中国社会科学,2024,000,1,罪刑关系的体系化及其实现,彭文华[1],"上海政法学院刑事司法学院,上海201600",20,刑法学,,
1052,中国社会科学,2020,,6,营利概念与中国法人法的体系效应,宋亚辉[1],"[1]南京大学法学院,南京210093",25,民商法学,,
1053,中国社会科学,2020,,10,著作权法中的公众使用权,刘银良[1],"[1]北京大学法学院,北京100871",22,知识产权法学,,
1054,中国社会科学,2015,0,8,董事会运行中非理性因素的法律规制,朱羿锟,"暨南大学法学院,广州510632",16,民商法学,,
1055,中国社会科学,2018,,9,行政改革试验授权制度的法理分析,杨登峰[1],"[1]南京师范大学法学院教授、中国法治现代化研究院,南京210023",24,法学理论,,
1056,中国社会科学,2024,000,9,行政检察的监督范畴与体系构建,解志勇[1],"[1]中国政法大学比较法学研究院,北京100088",12,诉讼法学,,
1057,中国社会科学,2016,,8,行政法治视阈下的民生立法,张淑芳,上海财经大学法学院,22,宪法学与行政法学,,
1058,中国社会科学,2018,,4,行政法视域下权力清单制度的重构,朱新力;余军,"浙江大学光华法学院,杭州310008",23,宪法学与行政法学,,
1059,中国社会科学,2017,0,7,行政组织法功能的行为法机制,"叶必丰[1,2]","[1]上海社会科学院法学研究所,上海200020;[2]上海交通大学法学院,上海200020",22,宪法学与行政法学,,
1060,中国社会科学,2025,000,3,行政规章与合同效力的关系,梁上上[1],"[1]清华大学法学院,北京100084",19,民商法学,,
1061,中国社会科学,2020,,5,行政许可的民法意义,"王轶[1,2]","[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学法学院,北京100872",23,宪法学与行政法学,,
1062,中国社会科学,2016,,11,行政转型与行政法学的回应型变迁,江国华,"武汉大学法学院,武汉430072",14,宪法学与行政法学,,
1063,中国社会科学,2023,000,1,论“以国际法为基础的国际秩序”,蔡从燕[1],"[1]复旦大学法学院,上海200438",20,国际法学,,
1064,中国社会科学,2022,000,3,论《民法典》实施中的思维转化——从单行法思维到法典化思维,王利明[1],"[1]中国人民大学法学院,北京100872",19,民商法学,,
1065,中国社会科学,2015,0,5,论中国法治评估的转型,钱弘道[1];王朝霞[2],"[1]浙江大学光华法学院,杭州310008;[2]浙江工业大学法学院,杭州310023",22,法学理论,,
1066,中国社会科学,2025,000,1,论人权普遍性的相对性,毛俊响[1],"[1]中南大学人权研究中心,长沙410083",21,法学理论,,
1067,中国社会科学,2019,,2,论人类命运共同体构建中的和平搁置争端,黄瑶[1],"[1]中山大学法学院,广州510275",25,国际法学,,
1068,中国社会科学,2023,000,4,论作为新型财产权的数据财产权,张新宝[1],"[1]中国人民大学法学院,北京100872",20,民商法学,,
1069,中国社会科学,2019,,10,论公安侦查权与行政权的衔接,张泽涛[1],"[1]广州大学法学院,广州510006",25,刑法学,,
1070,中国社会科学,2015,0,2,论刑事庭审实质化,汪海燕[1],"[1]中国政法大学刑事司法学院,北京100088",20,诉讼法学,,
1071,中国社会科学,2025,000,6,论司法决策的适度“再情感化”,杜宴林[1],"[1]吉林大学理论法学研究中心,长春130012",20,法学理论,,
1072,中国社会科学,2015,0,12,论国家政策作为民法法源,张红,"中南财经政法大学法学院,武汉430073",23,民商法学,,
1073,中国社会科学,2015,0,1,论国家治理商数,江必新[1];邵长茂[2],"[1]中南大学法学院教授,长沙410083;[2]中南大学法学院博士研究生,长沙410083",17,法学理论,,
1074,中国社会科学,2018,,3,论大数据时代的个人数据权利,程啸[1],"[1]清华大学法学院,北京100084",22,民商法学,,
1075,中国社会科学,2020,,8,论我国检察权的新发展,周新[1],"[1]广东外语外贸大学法学院,广州510420",25,诉讼法学,,
1076,中国社会科学,2017,,4,论指导性案例的内容构成,朱芒,"上海交通大学凯原法学院,上海200030",19,法学理论,,
1077,中国社会科学,2020,,1,论数字货币的法律属性,杨延超[1],"[1]中国社会科学院法学研究所,北京100720",24,民商法学,,
1078,中国社会科学,2020,,11,论数据用益权,申卫星[1],"[1]清华大学法学院,北京100084",23,民商法学,,
1079,中国社会科学,2018,,10,论新型网络犯罪立法及其适用,皮勇,"武汉大学法学院,武汉470072",25,刑法学,,
1080,中国社会科学,2016,0,2,论民事司法成本的分担,王福华,"上海财经大学法学院,上海200433",21,诉讼法学,,
1081,中国社会科学,2020,,4,论法律学说的司法运用,彭中礼[1],"[1]中南大学法学院,长沙410083",25,法学理论,,
1082,中国社会科学,2015,0,11,论法律意识形态,季卫东,"上海交通大学法学院,上海200030",18,法学理论,,
1083,中国社会科学,2024,000,9,论法治体系概念,侯学宾[1],"[1]吉林大学法学院,长春130012",11,法学理论,,
1084,中国社会科学,2025,000,5,论法治思维的规则,陈金钊[1];李德进[2],"[1]华东政法大学法律方法研究院,上海201620;[2]广西师范大学法学院,桂林541001",19,法学理论,,
